eventID,occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementMethod
IYS2022-NW-2-12-CanTrawl,IYS2022-NW-2-12-CanTrawl-7,IYS2022-NW-2-12-CanTrawl-7Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.01,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-12-CanTrawl,IYS2022-NW-2-12-CanTrawl-7,IYS2022-NW-2-12-CanTrawl-7Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,None,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,,,
IYS2022-NW-2-13-CanTrawl,IYS2022-NW-2-13-CanTrawl-1,IYS2022-NW-2-13-CanTrawl-1individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-13-CanTrawl,IYS2022-NW-2-13-CanTrawl-1,IYS2022-NW-2-13-CanTrawl-1Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.005,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-13-CanTrawl,IYS2022-NW-2-13-CanTrawl-1,IYS2022-NW-2-13-CanTrawl-1Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,None,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,,,
IYS2022-NW-2-16-CanTrawl,IYS2022-NW-2-16-CanTrawl-1,IYS2022-NW-2-16-CanTrawl-1individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,3330,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-16-CanTrawl,IYS2022-NW-2-16-CanTrawl-1,IYS2022-NW-2-16-CanTrawl-1Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,2.664,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-16-CanTrawl,IYS2022-NW-2-16-CanTrawl-1,IYS2022-NW-2-16-CanTrawl-1Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,None,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,,,
IYS2022-NW-2-22-CanTrawl,IYS2022-NW-2-22-CanTrawl-1,IYS2022-NW-2-22-CanTrawl-1individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-22-CanTrawl,IYS2022-NW-2-22-CanTrawl-1,IYS2022-NW-2-22-CanTrawl-1Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.004,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-22-CanTrawl,IYS2022-NW-2-22-CanTrawl-1,IYS2022-NW-2-22-CanTrawl-1Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,None,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,,,
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2,IYS2022-NW-2-1-CanTrawl-2individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,9,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2,IYS2022-NW-2-1-CanTrawl-2Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.116,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2,IYS2022-NW-2-1-CanTrawl-2Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,None,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,,,
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-3,IYS2022-NW-2-1-CanTrawl-3individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-3,IYS2022-NW-2-1-CanTrawl-3Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.326,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-3,IYS2022-NW-2-1-CanTrawl-3Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,None,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,,,
IYS2022-NW-2-2-CanTrawl,IYS2022-NW-2-2-CanTrawl-5,IYS2022-NW-2-2-CanTrawl-5individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-2-CanTrawl,IYS2022-NW-2-2-CanTrawl-5,IYS2022-NW-2-2-CanTrawl-5Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.21,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-2-CanTrawl,IYS2022-NW-2-2-CanTrawl-5,IYS2022-NW-2-2-CanTrawl-5Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,None,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,,,
IYS2022-NW-2-4-CanTrawl,IYS2022-NW-2-4-CanTrawl-6,IYS2022-NW-2-4-CanTrawl-6individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-4-CanTrawl,IYS2022-NW-2-4-CanTrawl-6,IYS2022-NW-2-4-CanTrawl-6Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.16,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-4-CanTrawl,IYS2022-NW-2-4-CanTrawl-6,IYS2022-NW-2-4-CanTrawl-6Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,None,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,,,
IYS2022-NW-2-5-CanTrawl,IYS2022-NW-2-5-CanTrawl-5,IYS2022-NW-2-5-CanTrawl-5individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-5-CanTrawl,IYS2022-NW-2-5-CanTrawl-5,IYS2022-NW-2-5-CanTrawl-5Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.536,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-5-CanTrawl,IYS2022-NW-2-5-CanTrawl-5,IYS2022-NW-2-5-CanTrawl-5Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,None,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,,,
IYS2022-NW-2-7-CanTrawl,IYS2022-NW-2-7-CanTrawl-6,IYS2022-NW-2-7-CanTrawl-6individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-7-CanTrawl,IYS2022-NW-2-7-CanTrawl-6,IYS2022-NW-2-7-CanTrawl-6Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.122,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-7-CanTrawl,IYS2022-NW-2-7-CanTrawl-6,IYS2022-NW-2-7-CanTrawl-6Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,None,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,,,
IYS2022-NW-2-8-CanTrawl,IYS2022-NW-2-8-CanTrawl-9,IYS2022-NW-2-8-CanTrawl-9individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-8-CanTrawl,IYS2022-NW-2-8-CanTrawl-9,IYS2022-NW-2-8-CanTrawl-9Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.449,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-8-CanTrawl,IYS2022-NW-2-8-CanTrawl-9,IYS2022-NW-2-8-CanTrawl-9Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,None,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,,,
IYS2022-NW-2-9-CanTrawl,IYS2022-NW-2-9-CanTrawl-4,IYS2022-NW-2-9-CanTrawl-4individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,4,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-9-CanTrawl,IYS2022-NW-2-9-CanTrawl-4,IYS2022-NW-2-9-CanTrawl-4Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.74,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-9-CanTrawl,IYS2022-NW-2-9-CanTrawl-4,IYS2022-NW-2-9-CanTrawl-4Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,None,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,,,
IYS2022-NW-2-12-CanTrawl,IYS2022-NW-2-12-CanTrawl-8,IYS2022-NW-2-12-CanTrawl-8individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-12-CanTrawl,IYS2022-NW-2-12-CanTrawl-8,IYS2022-NW-2-12-CanTrawl-8Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.133,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-12-CanTrawl,IYS2022-NW-2-12-CanTrawl-8,IYS2022-NW-2-12-CanTrawl-8Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,None,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,,,
IYS2022-NW-2-14-CanTrawl,IYS2022-NW-2-14-CanTrawl-5,IYS2022-NW-2-14-CanTrawl-5individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-14-CanTrawl,IYS2022-NW-2-14-CanTrawl-5,IYS2022-NW-2-14-CanTrawl-5Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.088,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-14-CanTrawl,IYS2022-NW-2-14-CanTrawl-5,IYS2022-NW-2-14-CanTrawl-5Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,None,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,,,
IYS2022-NW-2-17-CanTrawl,IYS2022-NW-2-17-CanTrawl-6,IYS2022-NW-2-17-CanTrawl-6individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-17-CanTrawl,IYS2022-NW-2-17-CanTrawl-6,IYS2022-NW-2-17-CanTrawl-6Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.056,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-17-CanTrawl,IYS2022-NW-2-17-CanTrawl-6,IYS2022-NW-2-17-CanTrawl-6Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,None,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,,,
IYS2022-NW-2-19-CanTrawl,IYS2022-NW-2-19-CanTrawl-5,IYS2022-NW-2-19-CanTrawl-5individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-19-CanTrawl,IYS2022-NW-2-19-CanTrawl-5,IYS2022-NW-2-19-CanTrawl-5Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.16,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-19-CanTrawl,IYS2022-NW-2-19-CanTrawl-5,IYS2022-NW-2-19-CanTrawl-5Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,None,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,,,
IYS2022-NW-2-20-CanTrawl,IYS2022-NW-2-20-CanTrawl-7,IYS2022-NW-2-20-CanTrawl-7individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-20-CanTrawl,IYS2022-NW-2-20-CanTrawl-7,IYS2022-NW-2-20-CanTrawl-7Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.261,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-20-CanTrawl,IYS2022-NW-2-20-CanTrawl-7,IYS2022-NW-2-20-CanTrawl-7Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,None,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,,,
IYS2022-NW-2-21-CanTrawl,IYS2022-NW-2-21-CanTrawl-8,IYS2022-NW-2-21-CanTrawl-8individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-21-CanTrawl,IYS2022-NW-2-21-CanTrawl-8,IYS2022-NW-2-21-CanTrawl-8Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.087,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-21-CanTrawl,IYS2022-NW-2-21-CanTrawl-8,IYS2022-NW-2-21-CanTrawl-8Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,None,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,,,
IYS2022-NW-2-2-CanTrawl,IYS2022-NW-2-2-CanTrawl-2,IYS2022-NW-2-2-CanTrawl-2individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,8,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-2-CanTrawl,IYS2022-NW-2-2-CanTrawl-2,IYS2022-NW-2-2-CanTrawl-2Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,13.11,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-2-CanTrawl,IYS2022-NW-2-2-CanTrawl-2,IYS2022-NW-2-2-CanTrawl-2Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,Immature,http://vocab.nerc.ac.uk/collection/S11/current/S1171/,,,
IYS2022-NW-2-3-CanTrawl,IYS2022-NW-2-3-CanTrawl-2,IYS2022-NW-2-3-CanTrawl-2individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,3,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-3-CanTrawl,IYS2022-NW-2-3-CanTrawl-2,IYS2022-NW-2-3-CanTrawl-2Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,5.81,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-3-CanTrawl,IYS2022-NW-2-3-CanTrawl-2,IYS2022-NW-2-3-CanTrawl-2Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,Immature,http://vocab.nerc.ac.uk/collection/S11/current/S1171/,,,
IYS2022-NW-2-4-CanTrawl,IYS2022-NW-2-4-CanTrawl-1,IYS2022-NW-2-4-CanTrawl-1individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-4-CanTrawl,IYS2022-NW-2-4-CanTrawl-1,IYS2022-NW-2-4-CanTrawl-1Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,1.2,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-4-CanTrawl,IYS2022-NW-2-4-CanTrawl-1,IYS2022-NW-2-4-CanTrawl-1Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,Immature,http://vocab.nerc.ac.uk/collection/S11/current/S1171/,,,
IYS2022-NW-2-5-CanTrawl,IYS2022-NW-2-5-CanTrawl-1,IYS2022-NW-2-5-CanTrawl-1individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,23,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-5-CanTrawl,IYS2022-NW-2-5-CanTrawl-1,IYS2022-NW-2-5-CanTrawl-1Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,25.42,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-5-CanTrawl,IYS2022-NW-2-5-CanTrawl-1,IYS2022-NW-2-5-CanTrawl-1Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,Immature,http://vocab.nerc.ac.uk/collection/S11/current/S1171/,,,
IYS2022-NW-2-6-CanTrawl,IYS2022-NW-2-6-CanTrawl-2,IYS2022-NW-2-6-CanTrawl-2individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,32,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-6-CanTrawl,IYS2022-NW-2-6-CanTrawl-2,IYS2022-NW-2-6-CanTrawl-2Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,20.5,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-6-CanTrawl,IYS2022-NW-2-6-CanTrawl-2,IYS2022-NW-2-6-CanTrawl-2Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,Immature,http://vocab.nerc.ac.uk/collection/S11/current/S1171/,,,
IYS2022-NW-2-7-CanTrawl,IYS2022-NW-2-7-CanTrawl-1,IYS2022-NW-2-7-CanTrawl-1individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,3,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
IYS2022-NW-2-7-CanTrawl,IYS2022-NW-2-7-CanTrawl-1,IYS2022-NW-2-7-CanTrawl-1Catch_Weight:,Catch_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,1.35,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS2022-NW-2-7-CanTrawl,IYS2022-NW-2-7-CanTrawl-1,IYS2022-NW-2-7-CanTrawl-1Lifestage:,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,Immature,http://vocab.nerc.ac.uk/collection/S11/current/S1171/,,,
IYS2022-NW-2-8-CanTrawl,IYS2022-NW-2-8-CanTrawl-3,IYS2022-NW-2-8-CanTrawl-3individualCount:,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,3,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,Total
